n,k,p_n,growth_avg,entry,factors,runtime_s,timeout
285,-204,149398060153984893257866891422192071955471716700781007130889484233735928302816658695860734702929643369026835469369955466675314953080910461555198887999167011316482411,0.9433422413492942,3864528624566857740946231460758228804271788290622180167625057220424875922793441834349881866881663645949642193888226591401883441394648521447679719741109716808503162331567808,"{2: 6, 404177: 1, 149398060153984893257866891422192071955471716700781007130889484233735928302816658695860734702929643369026835469369955466675314953080910461555198887999167011316482411: 1}",31.640928745269775,0.23059773445129395
286,-259,3864537523017258344685573023215505348094222407385506489877729333016914035950502332235417873472862829382947064012346916767734103963908099820843203661288855075223615287127947,0.9435281198638196,15458150092069033378742292092862021392376889629542025959510917332067656143802009328941671493891451317531788256049387667070936415855632399283372814645155420300894461148511788,"{2: 2, 3864537523017258344685573023215505348094222407385506489877729333016914035950502332235417873472862829382947064012346916767734103963908099820843203661288855075223615287127947: 1}",31.000974655151367,0.23059773445129395
287,-192,241489448713681200434973439901196788687968755607677761977350531845203548560805522342967983368639007914597661918752867023808356833579745709835949916468085658065398298338413,0.9436763224369019,61821298870702387311353200614706377904120001435565507066201736152372108431566213719799803742371586026137001451200733958094939349396414901718003178615829928464741964374633728,"{2: 8, 241489448713681200434973439901196788687968755607677761977350531845203548560805522342967983368639007914597661918752867023808356833579745709835949916468085658065398298338413: 1}",31.459208011627197,0.23059773445129395
288,-191,482928786863183594660139682864523140964573915241705446798894847333806035165853401114225419148387007857879609942411936313349229029963072495377581730819520172632838723610951,0.943817634797475,247259538873950000465991517626635848173861844603753188761034161834908690004916941370483414603974148023234360290514911392434805263341093117633321846179594328388013426488806912,"{2: 9, 482928786863183594660139682864523140964573915241705446798894847333806035165853401114225419148387007857879609942411936313349229029963072495377581730819520172632838723610951: 1}",32.06741404533386,0.23059773445129395
289,-224,247330401216984274356162292931374664478541773006579581550894916234368147666883630693826158280609239469659202949735865544306125170326954414393931112885914152501505496588608913,0.9440000644085045,989321604867937097424649171725498657914167092026318326203579664937472590667534522775304633122436957878636811798943462177224500681307817657575724451543656610006021986354435652,"{2: 2, 247330401216984274356162292931374664478541773006579581550894916234368147666883630693826158280609239469659202949735865544306125170326954414393931112885914152501505496588608913: 1}",31.746204614639282,0.23059773445129395
290,-225,71586223229630611739349723555494745174224663928727543778371862403682205476248356102553491499765294493484486210625220337017383157030311076173655832208151766559371467413143,0.9440995025336325,3957286420133980216951252718147749513231139421980058620068396553675552318727009125349157010107025479599822397723362180230320940920635596290879694404466629655402054718598545040,"{2: 4, 5: 1, 691: 1, 71586223229630611739349723555494745174224663928727543778371862403682205476248356102553491499765294493484486210625220337017383157030311076173655832208151766559371467413143: 1}",31.195369482040405,0.23059773445129395
291,-280,494660802946209068121005042038217188636378153091562553525087270571997754291395814646093725498505504396862953281174198462488793962222796509422066168458801865893821155947276979,0.9442620779019291,15829145694278690179872161345222950036364100898930001712802792658303928137324666068674999215952176140699614504997574350799641406791129488301506117390681659708602276990312863328,"{2: 5, 494660802946209068121005042038217188636378153091562553525087270571997754291395814646093725498505504396862953281174198462488793962222796509422066168458801865893821155947276979: 1}",31.48564076423645,0.23059773445129395
292,-211,4756349916699644235642905467544010797124059360633428168164430061913917865671695631561690766809613391632505634537391854827449311445801296850434147757715053442030960873701043,0.944372619898473,63316530091105664064878357583945871731315478208752195774604892984198074627821612247349227487769573469411915006961760371463005233966506863672979374950702791420316151150708284416,"{2: 10, 13: 1, 4756349916699644235642905467544010797124059360633428168164430061913917865671695631561690766809613391632505634537391854827449311445801296850434147757715053442030960873701043: 1}",33.33281922340393,0.23059773445129395
293,-260,7914572847139345088838303228900255631506692917949258054821578858894967185250278225045346591219724977400044115219056828687071745993359703829431451738438021457089247961436181239,0.9445333535397472,253266331108459042842825703324808180208214173374376257754290523484638949928008903201451090919031199276801411687009818517986295871787510522541806455630016686626855934765957799648,"{2: 5, 7914572847139345088838303228900255631506692917949258054821578858894967185250278225045346591219724977400044115219056828687071745993359703829431451738438021457089247961436181239: 1}",32.124640226364136,0.23059773445129395
294,-193,1977786891565435624322103101007492341657882721200994616829416137265768056937190118982879974879085848508272424503010578403016828797787451513151804460620999925775411568562643971,0.9446699503490149,1012626888481503039652916787715836078928835953254909243816661062280073245151841340919234547138091954436235481345541416142344616344467175174733723883837951961997010723104073713152,"{2: 9, 1977786891565435624322103101007492341657882721200994616829416137265768056937190118982879974879085848508272424503010578403016828797787451513151804460620999925775411568562643971: 1}",32.89127850532532,0.23059773445129395
