n,k,entry,factors,max_factor
81,-2,22970421042584103862314854072675356329985000,"{2: 3, 5: 4, 4594084208516820772462970814535071265997: 1}",4594084208516820772462970814535071265997
81,0,7668528224434976476231593150457235950071400,"{2: 3, 5: 2, 3955848312287371: 1, 9692646960976166148641567: 1}",9692646960976166148641567
82,-79,23384026195520740738286806243667529792018321116404,"{2: 2, 37: 1, 2053: 1, 6553: 1, 36174709: 1, 324655982360131189201878297940633: 1}",324655982360131189201878297940633
82,-77,23384026147630680008038727089256569685150132693680,"{2: 4, 5: 1, 201827: 1, 1448271672498642402158700712073741972403973: 1}",1448271672498642402158700712073741972403973
82,-75,23384025509096536938064338363777101593574287057360,"{2: 4, 5: 1, 5869: 1, 15986644630441: 1, 3115357267693377019225879787573: 1}",3115357267693377019225879787573
82,-73,23384019904185725546066926217901770567519642027440,"{2: 4, 5: 1, 7: 1, 13: 1, 23: 1, 13537520955523: 1, 7641195829: 1, 1350079941338828423653: 1}",1350079941338828423653
82,-71,23383983472265451498083747269712118898164449332960,"{2: 5, 5: 1, 13: 2, 37: 1, 109: 1, 11393: 1, 85379353: 1, 4789403263: 1, 46026846824626038389: 1}",46026846824626038389
82,-69,23383796455074711385103428669005240328807793501296,"{2: 4, 13: 1, 23: 1, 197: 1, 355715333: 1, 311752340021: 1, 223740867278317436711689: 1}",223740867278317436711689
82,-67,23383006826936030908075416799353975258190802212048,"{2: 4, 13: 1, 17: 1, 59: 1, 71: 1, 103: 1, 587: 1, 30047: 1, 119447: 1, 69214261: 1, 105106715251286865133: 1}",105106715251286865133
82,-65,23380186726440743490118231550599457148844404750448,"{2: 4, 13: 1, 7111834151: 1, 589461041369059: 1, 26813154651991985771159: 1}",26813154651991985771159
82,-63,23371491416580273951416910366939692978359679243848,"{2: 3, 13: 1, 89: 1, 701: 1, 3602011236044487926159460797289785578935833: 1}",3602011236044487926159460797289785578935833
82,-61,23347981875105671124557782722229960221123199170448,"{2: 4, 13: 1, 181283: 1, 647677361: 1, 956027128267505903389929363794287: 1}",956027128267505903389929363794287
82,-59,23291558975566624340095876374926601603755646994288,"{2: 4, 13: 1, 67: 1, 1893713: 1, 21247: 1, 41538292681553390785173263822299103: 1}",41538292681553390785173263822299103
82,-57,23170164252315947925041471809516345184570913524368,"{2: 4, 13: 1, 31: 1, 113: 1, 31799891648251976225105777204039868553013507: 1}",31799891648251976225105777204039868553013507
82,-55,22934118957106299340213462932329735480600598443968,"{2: 6, 13: 1, 127: 1, 3854223716617: 1, 1990993307969: 1, 28284486187232007869: 1}",28284486187232007869
82,-53,22516500357889228767056216457307272158191579455568,"{2: 4, 11: 1, 239: 1, 9679: 1, 24979: 1, 31960751: 1, 69273608149434100109340226907: 1}",69273608149434100109340226907
82,-51,21840355959156828791468293592985188683815072521968,"{2: 4, 191: 1, 389: 1, 594383271211: 1, 30909372135329258650905324810007: 1}",30909372135329258650905324810007
82,-49,20833652076599699938926275106105642177521162198608,"{2: 4, 83: 1, 14577011: 1, 1076214528584489551987684204094355853501: 1}",1076214528584489551987684204094355853501
82,-47,19449434238083647766680999686646265731367035503988,"{2: 2, 1789: 1, 5843: 1, 79645751: 1, 5840340163646848924498481844180061: 1}",5840340163646848924498481844180061
82,-45,17685235032131816566760550622629413398033344618688,"{2: 6, 32561: 1, 8486588169191966888474973234193808063151347: 1}",8486588169191966888474973234193808063151347
82,-43,15594332269522238848336314694905736558526748013888,"{2: 6, 113: 1, 1552079: 1, 2132381: 1, 651522980898567190584973140093191: 1}",651522980898567190584973140093191
82,-41,13283334479269547685867422353737462156966825450688,"{2: 6, 207552101238586682591678474277147846202606647667: 1}",207552101238586682591678474277147846202606647667
82,-39,10895303429341766817982900267863578608688238802048,"{2: 7, 53: 1, 659: 1, 16319: 1, 11033454292180256227: 1, 13535148755925358291: 1}",13535148755925358291
82,-37,8583082888935502803047093168842834220672464427968,"{2: 6, 7: 1, 65042591: 1, 294555719079556065254909731298042374151: 1}",294555719079556065254909731298042374151
82,-35,6481064215838899153105450351551248413385396815168,"{2: 6, 97: 1, 281: 1, 3923: 1, 590605727: 1, 1603512443062422091136614924721: 1}",1603512443062422091136614924721
