n,k,entry,factors,max_factor
26,-1,48342980254624,"{2: 5, 11: 1, 137338012087: 1}",137338012087
27,-24,18004231046168668,"{2: 2, 7: 1, 131: 1, 313: 1, 31357: 1, 500111: 1}",500111
27,-22,17916113030786596,"{2: 2, 4479028257696649: 1}",4479028257696649
27,-20,17548954633361296,"{2: 4, 6221: 1, 6584293: 1, 26777: 1}",6584293
27,-18,16569865573560496,"{2: 4, 167: 1, 1060391: 1, 5848123: 1}",5848123
27,-16,14693278208942296,"{2: 3, 1836659776117787: 1}",1836659776117787
27,-14,11940950074168936,"{2: 3, 1492618759271117: 1}",1492618759271117
27,-12,8729900583600016,"{2: 4, 15007667: 1, 36356003: 1}",36356003
27,-10,5671758211629616,"{2: 4, 173: 1, 439: 1, 28661: 1, 162853: 1}",162853
27,-8,3250728833819716,"{2: 2, 4751: 1, 197647: 1, 865457: 1}",865457
27,-6,1636709248613116,"{2: 2, 4397: 1, 93058292507: 1}",93058292507
27,-4,722098150329376,"{2: 5, 983: 1, 140249: 1, 163679: 1}",163679
27,-2,278650345100896,"{2: 5, 8707823284403: 1}",8707823284403
27,0,93880426255696,"{2: 4, 89: 1, 137: 1, 481220917: 1}",481220917
28,-25,72027091647987988,"{2: 2, 37: 1, 2053: 1, 6553: 1, 36174709: 1}",36174709
28,-23,71752570138528456,"{2: 3, 40167839: 1, 223289863: 1}",223289863
28,-21,70562976930870484,"{2: 2, 47: 1, 179: 1, 2096843484217: 1}",2096843484217
28,-19,67258551354042784,"{2: 5, 19: 1, 41: 1, 257: 1, 10498492679: 1}",10498492679
28,-17,60649700200387384,"{2: 3, 5443: 1, 49033: 1, 28406117: 1}",28406117
28,-15,50516128431449104,"{2: 4, 19: 1, 166171475103451: 1}",166171475103451
28,-13,38130651824968984,"{2: 3, 61: 1, 139: 1, 562133680637: 1}",562133680637
28,-11,25745175218488864,"{2: 5, 163: 1, 1231: 1, 4009592309: 1}",4009592309
28,-9,15423944713088764,"{2: 2, 358753: 1, 10748303647: 1}",10748303647
28,-7,8160856579659064,"{2: 3, 1020107072457383: 1}",1020107072457383
28,-5,3803003699601244,"{2: 2, 73: 2, 178410757159: 1}",178410757159
28,-3,1558049185632064,"{2: 6, 53: 1, 5381: 1, 85361557: 1}",85361557
28,-1,560291623867984,"{2: 4, 139: 1, 428807: 1, 587513: 1}",587513
29,-26,288138868981891900,"{2: 2, 5: 2, 7: 2, 29: 1, 379: 1, 14197: 1, 376853: 1}",376853
29,-24,287284802063573356,"{2: 2, 7: 1, 10260171502270477: 1}",10260171502270477
29,-22,283441500931139908,"{2: 2, 7: 1, 71: 1, 911: 1, 156505167631: 1}",156505167631
29,-20,272338630992998836,"{2: 2, 7: 1, 683: 1, 1831: 1, 7777538519: 1}",7777538519
29,-18,249207651955204936,"{2: 3, 7: 1, 4450136642057231: 1}",4450136642057231
29,-16,212198085494734696,"{2: 3, 7: 1, 17: 1, 31: 1, 79: 1, 15661: 1, 5811607: 1}",5811607
29,-14,164908083906356056,"{2: 3, 7: 1, 47: 1, 29663: 1, 2112228941: 1}",2112228941
29,-12,115366177480435576,"{2: 3, 8209: 1, 1756702665983: 1}",1756702665983
29,-10,72017009357755156,"{2: 2, 313: 1, 36571: 1, 6037: 1, 260539: 1}",260539
29,-8,39906514452065956,"{2: 2, 199: 1, 15959: 1, 3141413129: 1}",3141413129
29,-6,19569867678462796,"{2: 2, 4892466919615699: 1}",4892466919615699
29,-4,8477151256497436,"{2: 2, 257: 1, 38183: 1, 215966689: 1}",215966689
29,-2,3238924057236016,"{2: 4, 151: 1, 11903: 1, 112628267: 1}",112628267
29,0,1089907770359536,"{2: 4, 24943: 1, 2730996097: 1}",2730996097
30,-27,1152646983097387444,"{2: 2, 59: 1, 349: 1, 47387: 1, 295324633: 1}",295324633
30,-25,1149993275172611968,"{2: 7, 7: 1, 351919: 1, 5737: 1, 635711: 1}",635711
30,-23,1137609304856993080,"{2: 3, 5: 1, 7: 2, 47: 1, 139: 1, 86257: 1, 1029983: 1}",1029983
